"id","question","sparql","answer_uri","answer_label","frame"
"27","Quale persona era la figlia di Éric Dupond-Moretti?","select  ?o    {    <http://dbpedia.org/resource/Agathocles_of_Syracuse> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Archagathus_of_Libya","Arcagato di Libia","NPP"
"28","Quale persona è la figlia di Éric Dupond-Moretti?","select  ?o    {    <http://dbpedia.org/resource/Agathocles_of_Syracuse> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Archagathus_of_Libya","Arcagato di Libia","NPP"
"29","la figlia di Éric Dupond-Moretti","select  ?o    {    <http://dbpedia.org/resource/Agathocles_of_Syracuse> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Archagathus_of_Libya","Arcagato di Libia","NPP"
"30","Chi era la figlia di Agilulfo?","select  ?o    {    <http://dbpedia.org/resource/Agilulf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Adaloald","Adaloaldo","NPP"
"31","Chi è la figlia di Agilulfo?","select  ?o    {    <http://dbpedia.org/resource/Agilulf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Adaloald","Adaloaldo","NPP"
"32","Quale persona era la figlia di Agilulfo?","select  ?o    {    <http://dbpedia.org/resource/Agilulf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Adaloald","Adaloaldo","NPP"
"33","Quale persona è la figlia di Agilulfo?","select  ?o    {    <http://dbpedia.org/resource/Agilulf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Adaloald","Adaloaldo","NPP"
"34","la figlia di Agilulfo","select  ?o    {    <http://dbpedia.org/resource/Agilulf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Adaloald","Adaloaldo","NPP"
"35","Chi era la figlia di Agide I?","select  ?o    {    <http://dbpedia.org/resource/Agis_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Echestratus","Echestrato","NPP"
"36","Chi è la figlia di Agide I?","select  ?o    {    <http://dbpedia.org/resource/Agis_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Echestratus","Echestrato","NPP"
"37","Quale persona era la figlia di Agide I?","select  ?o    {    <http://dbpedia.org/resource/Agis_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Echestratus","Echestrato","NPP"
"38","Quale persona è la figlia di Agide I?","select  ?o    {    <http://dbpedia.org/resource/Agis_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Echestratus","Echestrato","NPP"
"39","la figlia di Agide I","select  ?o    {    <http://dbpedia.org/resource/Agis_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Echestratus","Echestrato","NPP"
"40","Chi era la figlia di Agnese di Poitiers?","select  ?o    {    <http://dbpedia.org/resource/Agnes_of_Aquitaine,_Countess_of_Savoy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bertha_of_Aragon","Berta di Savoia (1075-1111)","NPP"
"41","Chi è la figlia di Agnese di Poitiers?","select  ?o    {    <http://dbpedia.org/resource/Agnes_of_Aquitaine,_Countess_of_Savoy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bertha_of_Aragon","Berta di Savoia (1075-1111)","NPP"
"42","Quale persona era la figlia di Agnese di Poitiers?","select  ?o    {    <http://dbpedia.org/resource/Agnes_of_Aquitaine,_Countess_of_Savoy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bertha_of_Aragon","Berta di Savoia (1075-1111)","NPP"
"43","Quale persona è la figlia di Agnese di Poitiers?","select  ?o    {    <http://dbpedia.org/resource/Agnes_of_Aquitaine,_Countess_of_Savoy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bertha_of_Aragon","Berta di Savoia (1075-1111)","NPP"
"44","la figlia di Agnese di Poitiers","select  ?o    {    <http://dbpedia.org/resource/Agnes_of_Aquitaine,_Countess_of_Savoy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bertha_of_Aragon","Berta di Savoia (1075-1111)","NPP"
"45","Chi era la figlia di Agnese del Maino?","select  ?o    {    <http://dbpedia.org/resource/Agnese_del_Maino> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bianca_Maria_Visconti","Bianca Maria Visconti","NPP"
"46","Chi è la figlia di Agnese del Maino?","select  ?o    {    <http://dbpedia.org/resource/Agnese_del_Maino> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bianca_Maria_Visconti","Bianca Maria Visconti","NPP"
"47","Quale persona era la figlia di Agnese del Maino?","select  ?o    {    <http://dbpedia.org/resource/Agnese_del_Maino> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bianca_Maria_Visconti","Bianca Maria Visconti","NPP"
"48","Quale persona è la figlia di Agnese del Maino?","select  ?o    {    <http://dbpedia.org/resource/Agnese_del_Maino> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bianca_Maria_Visconti","Bianca Maria Visconti","NPP"
"49","la figlia di Agnese del Maino","select  ?o    {    <http://dbpedia.org/resource/Agnese_del_Maino> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Bianca_Maria_Visconti","Bianca Maria Visconti","NPP"
"50","Chi era la figlia di Agrippina minore?","select  ?o    {    <http://dbpedia.org/resource/Agrippina_the_Younger> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Nero","Nerone","NPP"
"51","Chi è la figlia di Agrippina minore?","select  ?o    {    <http://dbpedia.org/resource/Agrippina_the_Younger> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Nero","Nerone","NPP"
"52","Quale persona era la figlia di Agrippina minore?","select  ?o    {    <http://dbpedia.org/resource/Agrippina_the_Younger> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Nero","Nerone","NPP"
"53","Quale persona è la figlia di Agrippina minore?","select  ?o    {    <http://dbpedia.org/resource/Agrippina_the_Younger> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Nero","Nerone","NPP"
"54","la figlia di Agrippina minore","select  ?o    {    <http://dbpedia.org/resource/Agrippina_the_Younger> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Nero","Nerone","NPP"
"55","Chi era la figlia di Ahhotep I?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose_Sapair","Ahmose-Sipair","NPP"
"56","Chi è la figlia di Ahhotep I?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose_Sapair","Ahmose-Sipair","NPP"
"57","Quale persona era la figlia di Ahhotep I?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose_Sapair","Ahmose-Sipair","NPP"
"58","Quale persona è la figlia di Ahhotep I?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose_Sapair","Ahmose-Sipair","NPP"
"59","la figlia di Ahhotep I","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose_Sapair","Ahmose-Sipair","NPP"
"60","Chi era la figlia di Ahhotep II?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_II> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose-Sitkamose","Ahmose-Sitkamose","NPP"
"61","Chi è la figlia di Ahhotep II?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_II> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose-Sitkamose","Ahmose-Sitkamose","NPP"
"62","Quale persona era la figlia di Ahhotep II?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_II> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose-Sitkamose","Ahmose-Sitkamose","NPP"
"63","Quale persona è la figlia di Ahhotep II?","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_II> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose-Sitkamose","Ahmose-Sitkamose","NPP"
"64","la figlia di Ahhotep II","select  ?o    {    <http://dbpedia.org/resource/Ahhotep_II> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ahmose-Sitkamose","Ahmose-Sitkamose","NPP"
"65","Chi era la figlia di Al-Hakim califfo abbaside del Cairo?","select  ?o    {    <http://dbpedia.org/resource/Al-Hakim_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Wathiq_I","Al-Wathiq (califfo abbaside del Cairo)","NPP"
"66","Chi è la figlia di Al-Hakim califfo abbaside del Cairo?","select  ?o    {    <http://dbpedia.org/resource/Al-Hakim_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Wathiq_I","Al-Wathiq (califfo abbaside del Cairo)","NPP"
"67","Quale persona era la figlia di Al-Hakim califfo abbaside del Cairo?","select  ?o    {    <http://dbpedia.org/resource/Al-Hakim_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Wathiq_I","Al-Wathiq (califfo abbaside del Cairo)","NPP"
"68","Quale persona è la figlia di Al-Hakim califfo abbaside del Cairo?","select  ?o    {    <http://dbpedia.org/resource/Al-Hakim_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Wathiq_I","Al-Wathiq (califfo abbaside del Cairo)","NPP"
"69","la figlia di Al-Hakim (califfo abbaside del Cairo)","select  ?o    {    <http://dbpedia.org/resource/Al-Hakim_I> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Wathiq_I","Al-Wathiq (califfo abbaside del Cairo)","NPP"
"70","Chi era la figlia di Al-Malik al-Kamil?","select  ?o    {    <http://dbpedia.org/resource/Al-Kamil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/As-Salih_Ayyub","Al-Salih Ayyub","NPP"
"71","Chi è la figlia di Al-Malik al-Kamil?","select  ?o    {    <http://dbpedia.org/resource/Al-Kamil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/As-Salih_Ayyub","Al-Salih Ayyub","NPP"
"72","Quale persona era la figlia di Al-Malik al-Kamil?","select  ?o    {    <http://dbpedia.org/resource/Al-Kamil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/As-Salih_Ayyub","Al-Salih Ayyub","NPP"
"73","Quale persona è la figlia di Al-Malik al-Kamil?","select  ?o    {    <http://dbpedia.org/resource/Al-Kamil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/As-Salih_Ayyub","Al-Salih Ayyub","NPP"
"74","la figlia di Al-Malik al-Kamil","select  ?o    {    <http://dbpedia.org/resource/Al-Kamil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/As-Salih_Ayyub","Al-Salih Ayyub","NPP"
"75","Chi era la figlia di Khayzuran?","select  ?o    {    <http://dbpedia.org/resource/Al-Khayzuran> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Harun_al-Rashid","Hārūn al-Rashīd","NPP"
"76","Chi è la figlia di Khayzuran?","select  ?o    {    <http://dbpedia.org/resource/Al-Khayzuran> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Harun_al-Rashid","Hārūn al-Rashīd","NPP"
"77","Quale persona era la figlia di Khayzuran?","select  ?o    {    <http://dbpedia.org/resource/Al-Khayzuran> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Harun_al-Rashid","Hārūn al-Rashīd","NPP"
"78","Quale persona è la figlia di Khayzuran?","select  ?o    {    <http://dbpedia.org/resource/Al-Khayzuran> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Harun_al-Rashid","Hārūn al-Rashīd","NPP"
"79","la figlia di Khayzuran","select  ?o    {    <http://dbpedia.org/resource/Al-Khayzuran> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Harun_al-Rashid","Hārūn al-Rashīd","NPP"
"80","Chi era la figlia di Al-Muqtafi?","select  ?o    {    <http://dbpedia.org/resource/Al-Muqtafi> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustanjid","Al-Mustanjid","NPP"
"81","Chi è la figlia di Al-Muqtafi?","select  ?o    {    <http://dbpedia.org/resource/Al-Muqtafi> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustanjid","Al-Mustanjid","NPP"
"82","Quale persona era la figlia di Al-Muqtafi?","select  ?o    {    <http://dbpedia.org/resource/Al-Muqtafi> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustanjid","Al-Mustanjid","NPP"
"83","Quale persona è la figlia di Al-Muqtafi?","select  ?o    {    <http://dbpedia.org/resource/Al-Muqtafi> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustanjid","Al-Mustanjid","NPP"
"84","la figlia di Al-Muqtafi","select  ?o    {    <http://dbpedia.org/resource/Al-Muqtafi> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustanjid","Al-Mustanjid","NPP"
"85","Chi era la figlia di Al-Mustanjid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustanjid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustadi","Al-Mustadi'","NPP"
"86","Chi è la figlia di Al-Mustanjid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustanjid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustadi","Al-Mustadi'","NPP"
"87","Quale persona era la figlia di Al-Mustanjid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustanjid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustadi","Al-Mustadi'","NPP"
"88","Quale persona è la figlia di Al-Mustanjid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustanjid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustadi","Al-Mustadi'","NPP"
"89","la figlia di Al-Mustanjid","select  ?o    {    <http://dbpedia.org/resource/Al-Mustanjid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustadi","Al-Mustadi'","NPP"
"90","Chi era la figlia di Al-Mustansir abbaside?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustansir_(Baghdad)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Musta'sim","Al-Musta'sim","NPP"
"91","Chi è la figlia di Al-Mustansir abbaside?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustansir_(Baghdad)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Musta'sim","Al-Musta'sim","NPP"
"92","Quale persona era la figlia di Al-Mustansir abbaside?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustansir_(Baghdad)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Musta'sim","Al-Musta'sim","NPP"
"93","Quale persona è la figlia di Al-Mustansir abbaside?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustansir_(Baghdad)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Musta'sim","Al-Musta'sim","NPP"
"94","la figlia di Al-Mustansir (abbaside)","select  ?o    {    <http://dbpedia.org/resource/Al-Mustansir_(Baghdad)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Musta'sim","Al-Musta'sim","NPP"
"95","Chi era la figlia di Al-Mustarshid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustarshid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Rashid_Billah","Al-Rashid","NPP"
"96","Chi è la figlia di Al-Mustarshid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustarshid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Rashid_Billah","Al-Rashid","NPP"
"97","Quale persona era la figlia di Al-Mustarshid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustarshid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Rashid_Billah","Al-Rashid","NPP"
"98","Quale persona è la figlia di Al-Mustarshid?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustarshid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Rashid_Billah","Al-Rashid","NPP"
"99","la figlia di Al-Mustarshid","select  ?o    {    <http://dbpedia.org/resource/Al-Mustarshid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Rashid_Billah","Al-Rashid","NPP"
"100","Chi era la figlia di Al-Mustazhir?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustazhir> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustarshid","Al-Mustarshid","NPP"
"101","Chi è la figlia di Al-Mustazhir?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustazhir> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustarshid","Al-Mustarshid","NPP"
"102","Quale persona era la figlia di Al-Mustazhir?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustazhir> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustarshid","Al-Mustarshid","NPP"
"103","Quale persona è la figlia di Al-Mustazhir?","select  ?o    {    <http://dbpedia.org/resource/Al-Mustazhir> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustarshid","Al-Mustarshid","NPP"
"104","la figlia di Al-Mustazhir","select  ?o    {    <http://dbpedia.org/resource/Al-Mustazhir> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustarshid","Al-Mustarshid","NPP"
"105","Chi era la figlia di Al-Mutawakkil?","select  ?o    {    <http://dbpedia.org/resource/Al-Mutawakkil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Muntasir","Al-Muntasir","NPP"
"106","Chi è la figlia di Al-Mutawakkil?","select  ?o    {    <http://dbpedia.org/resource/Al-Mutawakkil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Muntasir","Al-Muntasir","NPP"
"107","Quale persona era la figlia di Al-Mutawakkil?","select  ?o    {    <http://dbpedia.org/resource/Al-Mutawakkil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Muntasir","Al-Muntasir","NPP"
"108","Quale persona è la figlia di Al-Mutawakkil?","select  ?o    {    <http://dbpedia.org/resource/Al-Mutawakkil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Muntasir","Al-Muntasir","NPP"
"109","la figlia di Al-Mutawakkil","select  ?o    {    <http://dbpedia.org/resource/Al-Mutawakkil> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Muntasir","Al-Muntasir","NPP"
"110","Chi era la figlia di Al-Zahir?","select  ?o    {    <http://dbpedia.org/resource/Al-Zahir_bi-Amr_Allah> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustansir_(Cairo)","Al-Mustansir (califfo abbaside del Cairo)","NPP"
"111","Chi è la figlia di Al-Zahir?","select  ?o    {    <http://dbpedia.org/resource/Al-Zahir_bi-Amr_Allah> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustansir_(Cairo)","Al-Mustansir (califfo abbaside del Cairo)","NPP"
"112","Quale persona era la figlia di Al-Zahir?","select  ?o    {    <http://dbpedia.org/resource/Al-Zahir_bi-Amr_Allah> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustansir_(Cairo)","Al-Mustansir (califfo abbaside del Cairo)","NPP"
"113","Quale persona è la figlia di Al-Zahir?","select  ?o    {    <http://dbpedia.org/resource/Al-Zahir_bi-Amr_Allah> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Mustansir_(Cairo)","Al-Mustansir (califfo abbaside del Cairo)","NPP"
