id,question,sparql,answer,answer,frame
191071,il compositore di Sleepwalking (film),select  ?o    {    <http://dbpedia.org/resource/Sleepwalking_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Christopher_Young,Christopher Young,NPP
191072,il compositore di Lake Dead,select  ?o    {    <http://dbpedia.org/resource/Lake_Dead> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191073,il compositore di Long Night's Journey Into Day,select  ?o    {    <http://dbpedia.org/resource/Long_Night's_Journey_into_Day> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Lebo_M.,,NPP
191074,il compositore di Wild Child (film),select  ?o    {    <http://dbpedia.org/resource/Wild_Child_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Michael_Price_(composer),Michael Price (compositore),NPP
191075,il compositore di Diario di un assassino (film),select  ?o    {    <http://dbpedia.org/resource/Where_Sleeping_Dogs_Lie> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Mark_Mancina,Mark Mancina,NPP
191076,il compositore di I testimoni (film),select  ?o    {    <http://dbpedia.org/resource/The_Witnesses> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Philippe_Sarde,Philippe Sarde,NPP
191077,il compositore di Gloria (film 1999),select  ?o    {    <http://dbpedia.org/resource/Gloria_(1999_American_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Howard_Shore,Howard Shore,NPP
191078,il compositore di L'anno del terrore,select  ?o    {    <http://dbpedia.org/resource/Year_of_the_Gun_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bill_Conti,Bill Conti,NPP
191079,il compositore di Neak sre,select  ?o    {    <http://dbpedia.org/resource/Rice_People> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191080,il compositore di Deathstalker (film),select  ?o    {    <http://dbpedia.org/resource/Deathstalker_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191081,il compositore di Pièces d'identités,select  ?o    {    <http://dbpedia.org/resource/Identity_Pieces> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Jean-Louis_Daulne,,NPP
191082,il compositore di El Super,select  ?o    {    <http://dbpedia.org/resource/El_Super> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191083,il compositore di No End in Sight,select  ?o    {    <http://dbpedia.org/resource/No_End_in_Sight> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Peter_Nashel,,NPP
191084,il compositore di The International,select  ?o    {    <http://dbpedia.org/resource/The_International_(2009_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Reinhold_Heil,,NPP
191085,il compositore di Tom Sawyer (film 1917),select  ?o    {    <http://dbpedia.org/resource/Tom_Sawyer_(1917_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191086,il compositore di L'isola di Summerfield,select  ?o    {    <http://dbpedia.org/resource/Summerfield_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bruce_Smeaton,,NPP
191087,il compositore di Jalla! Jalla!,select  ?o    {    <http://dbpedia.org/resource/Jalla!_Jalla!> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Daniel_Lemma,,NPP
191088,il compositore di Her Awakening (film 1911),select  ?o    {    <http://dbpedia.org/resource/Her_Awakening> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191089,il compositore di Wishmaster 2 - Il male non muore mai,select  ?o    {    <http://dbpedia.org/resource/Wishmaster_2:_Evil_Never_Dies> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191090,il compositore di Wishmaster 3 - La pietra del diavolo,select  ?o    {    <http://dbpedia.org/resource/Wishmaster_3:_Beyond_the_Gates_of_Hell> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191091,il compositore di Al di là del silenzio,select  ?o    {    <http://dbpedia.org/resource/Beyond_Silence_(1996_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Niki_Reiser,,NPP
191092,il compositore di White Diamond,select  ?o    {    <http://dbpedia.org/resource/White_Diamond:_A_Personal_Portrait_of_Kylie_Minogue> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Steve_Anderson_(musician),,NPP
191093,il compositore di L'era glaciale 3 - L'alba dei dinosauri,select  ?o    {    <http://dbpedia.org/resource/Ice_Age:_Dawn_of_the_Dinosaurs> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/John_Powell_(film_composer),John Powell,NPP
191094,il compositore di È tempo di sognare,select  ?o    {    <http://dbpedia.org/resource/Nanhe_Jaisalmer> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Himesh_Reshammiya,,NPP
191095,il compositore di Un uomo qualunque,select  ?o    {    <http://dbpedia.org/resource/He_Was_a_Quiet_Man> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Jeff_Beal,Jeff Beal,NPP
191096,il compositore di Se mi vuoi sposami,select  ?o    {    <http://dbpedia.org/resource/Honky_Tonk_(1941_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Franz_Waxman,Franz Waxman,NPP
191097,il compositore di Ek Din Achanak,select  ?o    {    <http://dbpedia.org/resource/Ek_Din_Achanak> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191098,il compositore di Odete,select  ?o    {    <http://dbpedia.org/resource/Two_Drifters> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191099,il compositore di L'ultima sfida (film 1948),select  ?o    {    <http://dbpedia.org/resource/The_Babe_Ruth_Story> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Edward_Ward_(composer),Edward Ward,NPP
191100,il compositore di Susanna ha dormito qui,select  ?o    {    <http://dbpedia.org/resource/Susan_Slept_Here> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Richard_Myers_(songwriter),,NPP
191101,il compositore di La governante (film 1998),select  ?o    {    <http://dbpedia.org/resource/The_Governess> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Edward_Shearmur,Edward Shearmur,NPP
191102,il compositore di Amare con rabbia,select  ?o    {    <http://dbpedia.org/resource/Reckless_(1984_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Thomas_Newman,Thomas Newman,NPP
191103,il compositore di Bogus - L'amico immaginario,select  ?o    {    <http://dbpedia.org/resource/Bogus_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Marc_Shaiman,Marc Shaiman,NPP
191104,il compositore di Bless the Beasts & Children,select  ?o    {    <http://dbpedia.org/resource/Bless_the_Beasts_and_Children_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Perry_Botkin_Jr.,,NPP
191105,il compositore di The Walker,select  ?o    {    <http://dbpedia.org/resource/The_Walker> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191106,il compositore di Skeleton Man (film),select  ?o    {    <http://dbpedia.org/resource/Skeleton_Man> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191107,il compositore di Dennis colpisce ancora,select  ?o    {    <http://dbpedia.org/resource/Dennis_the_Menace_Strikes_Again> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Graeme_Revell,Graeme Revell,NPP
191108,il compositore di La montagna,select  ?o    {    <http://dbpedia.org/resource/The_Mountain_(1956_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Daniele_Amfitheatrof,Daniele Amfitheatrof,NPP
191109,il compositore di Trapezio (film),select  ?o    {    <http://dbpedia.org/resource/Trapeze_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Malcolm_Arnold,Malcolm Arnold,NPP
191110,il compositore di Mr. Nobody,select  ?o    {    <http://dbpedia.org/resource/Mr._Nobody_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Pierre_Van_Dormael,Pierre Van Dormael,NPP
191111,il compositore di La signora in rosso (film 1935),select  ?o    {    <http://dbpedia.org/resource/The_Woman_in_Red_(1935_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bernhard_Kaun,,NPP
191112,il compositore di Il piccolo fuorilegge,select  ?o    {    <http://dbpedia.org/resource/The_Littlest_Outlaw> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191113,il compositore di When a Man Falls in the Forest,select  ?o    {    <http://dbpedia.org/resource/When_a_Man_Falls_in_the_Forest> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Billy_Corgan,Billy Corgan,NPP
191114,il compositore di La traversata,select  ?o    {    <http://dbpedia.org/resource/Paar_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191115,il compositore di Posse II - La banda dei folli,select  ?o    {    <http://dbpedia.org/resource/Los_Locos> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Lesley_Barber,,NPP
191116,il compositore di Un soir après la guerre,select  ?o    {    <http://dbpedia.org/resource/One_Evening_After_the_War> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191117,il compositore di Le papier ne peut pas envelopper la braise,select  ?o    {    <http://dbpedia.org/resource/Paper_Cannot_Wrap_Up_Embers> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191118,il compositore di Dr. Plonk,select  ?o    {    <http://dbpedia.org/resource/Dr._Plonk> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Graham_Tardif,,NPP
191119,il compositore di Twitches - Gemelle streghelle 2,select  ?o    {    <http://dbpedia.org/resource/Twitches_Too> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191120,il compositore di La vendetta del dragone,select  ?o    {    <http://dbpedia.org/resource/Shinjuku_Incident> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Peter_Kam,,NPP
191121,il compositore di Sull'orlo della paura,select  ?o    {    <http://dbpedia.org/resource/A_Dandy_in_Aspic> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Quincy_Jones,Quincy Jones,NPP
191122,il compositore di La ballata della città senza nome,select  ?o    {    <http://dbpedia.org/resource/Paint_Your_Wagon_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Nelson_Riddle,Nelson Riddle,NPP
191123,il compositore di Transformers - La vendetta del caduto,select  ?o    {    <http://dbpedia.org/resource/Transformers:_Revenge_of_the_Fallen> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Steve_Jablonsky,Steve Jablonsky,NPP
191124,il compositore di Gli esploratori del tempo,select  ?o    {    <http://dbpedia.org/resource/Minutemen_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191125,il compositore di I giovani cannibali,select  ?o    {    <http://dbpedia.org/resource/All_the_Fine_Young_Cannibals> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Jeff_Alexander,,NPP
191126,il compositore di Triade chiama Canale 6,select  ?o    {    <http://dbpedia.org/resource/An_Eye_for_an_Eye_(1981_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191127,il compositore di Luther - Genio ribelle liberatore,select  ?o    {    <http://dbpedia.org/resource/Luther_(2003_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Richard_Harvey,,NPP
191128,il compositore di Il gatto milionario,select  ?o    {    <http://dbpedia.org/resource/Rhubarb_(1951_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Van_Cleave,,NPP
191129,il compositore di The Dark Side of the Sun,select  ?o    {    <http://dbpedia.org/resource/The_Dark_Side_of_the_Sun_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Kornelije_Kovač,,NPP
191130,il compositore di I gangsters del Texas,select  ?o    {    <http://dbpedia.org/resource/Texas_Terror_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191131,il compositore di Sabrina - Vacanze romane,select  ?o    {    <http://dbpedia.org/resource/Sabrina_Goes_to_Rome> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191132,il compositore di ABBA spettacolo,select  ?o    {    <http://dbpedia.org/resource/ABBA:_The_Movie> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Björn_Ulvaeus,Björn Ulvaeus,NPP
191133,il compositore di Quicksand - Accusato di omicidio,select  ?o    {    <http://dbpedia.org/resource/Quicksand_(2003_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Anthony_Marinelli,,NPP
191134,il compositore di Yeokjeon-e sanda,select  ?o    {    <http://dbpedia.org/resource/Reversal_of_Fortune_(2003_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191135,il compositore di Dominique,select  ?o    {    <http://dbpedia.org/resource/The_Singing_Nun_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/The_Singing_Nun,Sœur Sourire,NPP
191136,il compositore di The Range Feud,select  ?o    {    <http://dbpedia.org/resource/The_Range_Feud> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191137,il compositore di Cuore d'amanti,select  ?o    {    <http://dbpedia.org/resource/Lady_and_Gent> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191138,il compositore di That's My Boy (film 1932),select  ?o    {    <http://dbpedia.org/resource/That's_My_Boy_(1932_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191139,il compositore di Nuove frontiere,select  ?o    {    <http://dbpedia.org/resource/New_Frontier_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191140,il compositore di The Big Stampede,select  ?o    {    <http://dbpedia.org/resource/The_Big_Stampede> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bernhard_Kaun,,NPP
191141,il compositore di Haunted Gold,select  ?o    {    <http://dbpedia.org/resource/Haunted_Gold> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/John_Peasano,,NPP
191142,il compositore di The Telegraph Trail,select  ?o    {    <http://dbpedia.org/resource/The_Telegraph_Trail> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Leo_F._Forbstein,Leo F. Forbstein,NPP
191143,il compositore di Ala errante,select  ?o    {    <http://dbpedia.org/resource/Central_Airport_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Leo_F._Forbstein,Leo F. Forbstein,NPP
191144,il compositore di Somewhere in Sonora (film 1933),select  ?o    {    <http://dbpedia.org/resource/Somewhere_in_Sonora> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191145,il compositore di His Private Secretary,select  ?o    {    <http://dbpedia.org/resource/His_Private_Secretary> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191146,il compositore di La seconda aurora,select  ?o    {    <http://dbpedia.org/resource/The_Life_of_Jimmy_Dolan> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191147,il compositore di The Man from Monterey,select  ?o    {    <http://dbpedia.org/resource/The_Man_from_Monterey> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191148,il compositore di College Coach,select  ?o    {    <http://dbpedia.org/resource/College_Coach> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bernhard_Kaun,,NPP
191149,il compositore di Il giustiziere del West,select  ?o    {    <http://dbpedia.org/resource/Sagebrush_Trail> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191150,il compositore di Miami Supercops (I poliziotti dell'8ª strada),select  ?o    {    <http://dbpedia.org/resource/Miami_Supercops> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/La_Bionda,La Bionda (gruppo musicale),NPP
191151,il compositore di The Cyclops,select  ?o    {    <http://dbpedia.org/resource/The_Cyclops_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Albert_Glasser,,NPP
191152,il compositore di Il fantasma dello spazio,select  ?o    {    <http://dbpedia.org/resource/Phantom_from_Space> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/William_Lava,William Lava,NPP
191153,il compositore di West of the Divide,select  ?o    {    <http://dbpedia.org/resource/West_of_the_Divide> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191154,il compositore di Rainbow Valley (film),select  ?o    {    <http://dbpedia.org/resource/Rainbow_Valley_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191155,il compositore di Verso il West!,select  ?o    {    <http://dbpedia.org/resource/Westward_Ho_(1935_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191156,il compositore di Un tram che si chiama Desiderio (film 1995),select  ?o    {    <http://dbpedia.org/resource/A_Streetcar_Named_Desire_(1995_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191157,il compositore di Uno sceriffo per Weather Spring,select  ?o    {    <http://dbpedia.org/resource/The_New_Frontier_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191158,il compositore di Al diavolo il paradiso,select  ?o    {    <http://dbpedia.org/resource/Checking_Out_(1989_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Carter_Burwell,Carter Burwell,NPP
191159,il compositore di The Oregon Trail (film 1936),select  ?o    {    <http://dbpedia.org/resource/The_Oregon_Trail_(1936_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191160,il compositore di Il re dei Pecos,select  ?o    {    <http://dbpedia.org/resource/King_of_the_Pecos> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191161,il compositore di Il sentiero solitario,select  ?o    {    <http://dbpedia.org/resource/The_Lonely_Trail> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191162,il compositore di Sea Spoilers,select  ?o    {    <http://dbpedia.org/resource/Sea_Spoilers> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191163,il compositore di Conflict (film 1936),select  ?o    {    <http://dbpedia.org/resource/Conflict_(1936_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191164,il compositore di 999-9999,select  ?o    {    <http://dbpedia.org/resource/999-9999> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191165,il compositore di All the Love You Cannes!,select  ?o    {    <http://dbpedia.org/resource/All_the_Love_You_Cannes!> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191166,il compositore di Young Black Stallion,select  ?o    {    <http://dbpedia.org/resource/The_Young_Black_Stallion> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/William_Ross_(composer),William Ross,NPP
191167,il compositore di Camp Rock,select  ?o    {    <http://dbpedia.org/resource/Camp_Rock> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191168,il compositore di Ma come si può uccidere un bambino?,select  ?o    {    <http://dbpedia.org/resource/Who_Can_Kill_a_Child%3F> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Waldo_de_los_Ríos,,NPP
191169,il compositore di Tobor - Il re dei robot,select  ?o    {    <http://dbpedia.org/resource/Tobor_the_Great> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Howard_Jackson_(composer),Howard Jackson (compositore),NPP
191170,il compositore di Idol of the Crowds,select  ?o    {    <http://dbpedia.org/resource/Idol_of_the_Crowds> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191171,il compositore di Adventure's End,select  ?o    {    <http://dbpedia.org/resource/Adventure's_End> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191172,il compositore di Il sentiero della vendetta (film 1937),select  ?o    {    <http://dbpedia.org/resource/Born_to_the_West> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191173,il compositore di Pals of the Saddle,select  ?o    {    <http://dbpedia.org/resource/Pals_of_the_Saddle> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191174,il compositore di Overland Stage Raiders,select  ?o    {    <http://dbpedia.org/resource/Overland_Stage_Raiders> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191175,il compositore di La linea generale,select  ?o    {    <http://dbpedia.org/resource/The_General_Line> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191176,il compositore di Santa Fe Stampede,select  ?o    {    <http://dbpedia.org/resource/Santa_Fe_Stampede> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191177,il compositore di Dai sbirro,select  ?o    {    <http://dbpedia.org/resource/The_French_Detective> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Philippe_Sarde,Philippe Sarde,NPP
191178,il compositore di Assassination (film 1987),select  ?o    {    <http://dbpedia.org/resource/Assassination_(1987_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Valentine_McCallum,,NPP
191179,il compositore di Children of Fate: Life and Death in a Sicilian Family,select  ?o    {    <http://dbpedia.org/resource/Children_of_Fate:_Life_and_Death_in_a_Sicilian_Family> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/John_T._La_Barbera,,NPP
191180,il compositore di You Were Meant for Me,select  ?o    {    <http://dbpedia.org/resource/You_Were_Meant_for_Me_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Lionel_Newman,Lionel Newman,NPP
191181,il compositore di Antony and Cleopatra (film 1908),select  ?o    {    <http://dbpedia.org/resource/Antony_and_Cleopatra_(1908_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191182,il compositore di Detective Conan - L'asso di picche,select  ?o    {    <http://dbpedia.org/resource/Case_Closed:_The_Fourteenth_Target> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191183,il compositore di Terra gialla,select  ?o    {    <http://dbpedia.org/resource/Yellow_Earth> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Zhao_Jiping,,NPP
191184,il compositore di Il capitano di Castiglia,select  ?o    {    <http://dbpedia.org/resource/Captain_from_Castile> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Alfred_Newman_(composer),Alfred Newman,NPP
191185,il compositore di Gukhwakkot hyanggi,select  ?o    {    <http://dbpedia.org/resource/Scent_of_Love> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191186,il compositore di Il sepolcro indiano,select  ?o    {    <http://dbpedia.org/resource/The_Indian_Tomb_(1959_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Michel_Michelet,,NPP
191187,il compositore di Texas Kid,select  ?o    {    <http://dbpedia.org/resource/Three_Texas_Steers> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/William_Lava,William Lava,NPP
191188,il compositore di Wyoming Outlaw,select  ?o    {    <http://dbpedia.org/resource/Wyoming_Outlaw> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/William_Lava,William Lava,NPP
191189,il compositore di La valle dei monsoni,select  ?o    {    <http://dbpedia.org/resource/Three_Faces_West> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Victor_Young,Victor Young,NPP
191190,il compositore di La taverna dei sette peccati,select  ?o    {    <http://dbpedia.org/resource/Seven_Sinners_(1940_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Frank_Skinner_(composer),Frank Skinner,NPP
191191,il compositore di L'Uomo Ragno (film),select  ?o    {    <http://dbpedia.org/resource/Spider-Man_(1977_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Johnnie_Spence,,NPP
191192,il compositore di Una preghiera per morire,select  ?o    {    <http://dbpedia.org/resource/A_Prayer_for_the_Dying> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Bill_Conti,Bill Conti,NPP
